config,attribute,is_numeric,ground_truth,predicted,correct,llm_judgment,unknown
RAG-noisy-k3,read_speed_mb_s,True,226.0,500,False,wrong,False
RAG-noisy-k3,model_number,False,GV-N166SOC-6GD,GV-N1660SUPEROC-6GD,False,acceptable,False
RAG-noisy-k3,model_number,False,AGAMMIXS11P-1TT-C,model SX6000 Pro,False,acceptable,False
RAG-noisy-k3,bus_type,False,PCIe x16,SATA III,False,acceptable,False
RAG-noisy-k3,model_number,False,NEAT7100HD46H,NEAT7100HD46H,True,correct,False
RAG-noisy-k3,model_number,False,MZ-V7E250BW,970-EVO,False,acceptable,False
RAG-noisy-k3,model,False,Ace - A80,"modelNumber is already present in some, but not all products. Assuming it should be consistent across all products from the same brand, we can use one of the similar reference products as a guide.",False,acceptable,False
RAG-noisy-k3,model_number,False,SKC600/512G,KC600,True,correct,False
RAG-noisy-k3,write_speed_mb_s,True,520.0,550.0,True,correct,False
RAG-noisy-k3,bus_type,False,PCIe 3.0,PCIe,True,acceptable,False
RAG-noisy-k3,model_number,False,WD20EURX,WD1005FBYZ,False,correct,False
RAG-noisy-k3,read_speed_mb_s,True,40.0,3000,False,wrong,False
RAG-noisy-k3,write_speed_mb_s,True,10.0,500,False,wrong,False
RAG-noisy-k3,height_mm,True,25.4,25,True,acceptable,False
RAG-noisy-k3,width_mm,True,101.6,43,False,wrong,False
RAG-noisy-k3,model_number,False,ST8000VN004,ST8000VN004,True,correct,False
RAG-noisy-k3,model,False,1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk,WD40EFRX,False,correct,False
RAG-noisy-k3,bus_type,False,PCIe 3.0,PCIe 3.0,True,correct,False
RAG-noisy-k3,model_number,False,ST10000VN0004,ST10000VN0007,False,acceptable,False
RAG-noisy-k3,model_number,False,GV-R55XTGAMING OC-8GD,GV-N208SGAMINGOC-8G,False,correct,False
RAG-noisy-k3,read_speed_mb_s,True,550.0,1700,False,wrong,False
RAG-noisy-k3,write_speed_mb_s,True,520.0,540,True,acceptable,False
RAG-noisy-k3,model_number,False,WDS500G1B0A,WDS500G1B0A,True,correct,False
RAG-noisy-k3,read_speed_mb_s,True,545.0,545,True,correct,False
RAG-noisy-k3,write_speed_mb_s,True,525.0,520,True,acceptable,False
RAG-noisy-k3,height_mm,True,7.0,9.5,False,acceptable,False
RAG-noisy-k3,read_speed_mb_s,True,3430.0,3430,True,correct,False
RAG-noisy-k3,write_speed_mb_s,True,2900.0,2900,True,correct,False
RAG-noisy-k3,height_mm,True,8.0,2.4,False,wrong,False
RAG-noisy-k3,width_mm,True,25.0,25.0,True,correct,False
RAG-noisy-k3,bus_type,False,PCIe 3.0 x16,PCIe 3.0,True,acceptable,False
RAG-noisy-k3,model_number,False,GV-N105TOC-4GL,GeForce GTX 1050 Ti OC Low Profile,False,correct,False
RAG-noisy-k3,read_speed_mb_s,True,550.0,500,True,acceptable,False
RAG-noisy-k3,model_number,False,AUV128-32G-RBE,AUV128-64G-RBE,False,acceptable,False
RAG-noisy-k3,read_speed_mb_s,True,90.0,90,True,correct,False
RAG-noisy-k3,write_speed_mb_s,True,40.0,130,False,wrong,False
RAG-noisy-k3,height_mm,True,90.0,40,False,wrong,False
RAG-noisy-k3,width_mm,True,20.0,60,False,wrong,False
RAG-noisy-k3,model_number,False,GV-N207SWF3OC-8GD,NVIDIA GeForce RTX 2070 SUPER 8GB WINDFORCE OC Turing Graphics Card,False,correct,False
RAG-noisy-k3,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x8,False,acceptable,False
RAG-noisy-k3,height_mm,True,40.0,250,False,wrong,False
RAG-noisy-k3,width_mm,True,124.0,250,False,wrong,False
